entityName,employeeCount,source.name,source.url,collectedAt
Pulpix,15,YC OSS Startup Directory,https://www.ycombinator.com/companies/pulpix,2026-09-04T11:45:55.232951
iSono Health,9,YC OSS Startup Directory,https://www.ycombinator.com/companies/isono-health,2026-09-04T11:45:55.182324
Netomi,3,YC OSS Startup Directory,https://www.ycombinator.com/companies/netomi,2026-09-04T11:45:55.251732
Algoriz,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/algoriz,2026-09-04T11:45:55.290045
Podium,1000,YC OSS Startup Directory,https://www.ycombinator.com/companies/podium,2026-09-04T11:45:55.297561
Gecko Robotics,230,YC OSS Startup Directory,https://www.ycombinator.com/companies/gecko-robotics,2026-09-04T11:45:55.328597
HistoWiz,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/histowiz,2026-09-04T11:45:55.340927
Revl,22,YC OSS Startup Directory,https://www.ycombinator.com/companies/revl,2026-09-04T11:45:55.305556
Daily,126,YC OSS Startup Directory,https://www.ycombinator.com/companies/daily,2026-09-04T11:45:55.211936
Superside,850,YC OSS Startup Directory,https://www.ycombinator.com/companies/superside,2026-09-04T11:45:55.336931
AgileMD,19,YC OSS Startup Directory,https://www.ycombinator.com/companies/agilemd,2026-09-04T11:45:55.322756
Sendbird,300,YC OSS Startup Directory,https://www.ycombinator.com/companies/sendbird,2026-09-04T11:45:55.365514
Relativity Space,2500,YC OSS Startup Directory,https://www.ycombinator.com/companies/relativity-space,2026-09-04T11:45:55.396310
Farmstead,10,YC OSS Startup Directory,https://www.ycombinator.com/companies/farmstead,2026-09-04T11:45:55.401309
Nova,11,YC OSS Startup Directory,https://www.ycombinator.com/companies/nova,2026-09-04T11:45:55.422311
Iris Automation,,YC OSS Startup Directory,https://www.ycombinator.com/companies/iris-automation,2026-09-04T11:45:55.447104
Airo Health,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/airo-health,2026-09-04T11:45:55.473163
OneChronos,75,YC OSS Startup Directory,https://www.ycombinator.com/companies/onechronos,2026-09-04T11:45:55.451926
garten,201,YC OSS Startup Directory,https://www.ycombinator.com/companies/garten,2026-09-04T11:45:55.458085
Synvivia,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/synvivia,2026-09-04T11:45:55.495592
Sway Finance,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/sway-finance,2026-09-04T11:45:55.491192
NeoWize,3,YC OSS Startup Directory,https://www.ycombinator.com/companies/neowize,2026-09-04T11:45:55.467184
CrowdAI,32,YC OSS Startup Directory,https://www.ycombinator.com/companies/crowdai,2026-09-04T11:45:55.548592
Miso,300,YC OSS Startup Directory,https://www.ycombinator.com/companies/miso,2026-09-04T11:45:55.553593
Athelas,1000,YC OSS Startup Directory,https://www.ycombinator.com/companies/athelas,2026-09-04T11:45:55.539593
Saleswhale,23,YC OSS Startup Directory,https://www.ycombinator.com/companies/saleswhale,2026-09-04T11:45:55.578605
Scale AI,500,YC OSS Startup Directory,https://www.ycombinator.com/companies/scale-ai,2026-09-04T11:45:55.560597
Seerslab,39,YC OSS Startup Directory,https://www.ycombinator.com/companies/seerslab,2026-09-04T11:45:55.568592
People.ai,300,YC OSS Startup Directory,https://www.ycombinator.com/companies/people-ai,2026-09-04T11:45:55.593345
SnapMagic,23,YC OSS Startup Directory,https://www.ycombinator.com/companies/snapmagic,2026-09-04T11:45:55.140989
Voiceops,10,YC OSS Startup Directory,https://www.ycombinator.com/companies/voiceops,2026-09-04T11:45:55.631354
Pit.AI,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/pit-ai,2026-09-04T11:45:55.647835
Bountiful,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/bountiful,2026-09-04T11:45:55.663269
Entry,7,YC OSS Startup Directory,https://www.ycombinator.com/companies/entry,2026-09-04T11:45:55.674307
Cowlar,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/cowlar,2026-09-04T11:45:55.632356
Ambient.ai,150,YC OSS Startup Directory,https://www.ycombinator.com/companies/ambient-ai,2026-09-04T11:45:55.692385
Penny,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/penny,2026-09-04T11:45:55.721878
"Veryfi, Inc.",70,YC OSS Startup Directory,https://www.ycombinator.com/companies/veryfi-inc,2026-09-04T11:45:55.751865
Speak,40,YC OSS Startup Directory,https://www.ycombinator.com/companies/speak,2026-09-04T11:45:55.625352
AlemHealth,25,YC OSS Startup Directory,https://www.ycombinator.com/companies/alemhealth,2026-09-04T11:45:55.758865
Tetra,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/tetra,2026-09-04T11:45:55.763868
FloydHub,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/floydhub,2026-09-04T11:45:55.779978
NanoNets,102,YC OSS Startup Directory,https://www.ycombinator.com/companies/nanonets,2026-09-04T11:45:55.805526
Caper,15,YC OSS Startup Directory,https://www.ycombinator.com/companies/caper,2026-09-04T11:45:55.333927
Ridecell,88,YC OSS Startup Directory,https://www.ycombinator.com/companies/ridecell,2026-09-04T11:45:55.870989
Helix Nanotechnologies,22,YC OSS Startup Directory,https://www.ycombinator.com/companies/helix-nanotechnologies,2026-09-04T11:45:55.873989
ScopeAI,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/scopeai,2026-09-04T11:45:55.899624
Bicycle AI,11,YC OSS Startup Directory,https://www.ycombinator.com/companies/bicycle-ai,2026-09-04T11:45:55.896699
MDalgorithms Inc.,40,YC OSS Startup Directory,https://www.ycombinator.com/companies/mdalgorithms-inc,2026-09-04T11:45:55.916634
Skyways,33,YC OSS Startup Directory,https://www.ycombinator.com/companies/skyways,2026-09-04T11:45:55.938126
VergeSense,70,YC OSS Startup Directory,https://www.ycombinator.com/companies/vergesense,2026-09-04T11:45:55.946124
JustSpotted,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/justspotted,2026-09-04T11:45:55.969639
Nimble,25,YC OSS Startup Directory,https://www.ycombinator.com/companies/nimble,2026-09-04T11:45:55.975670
Standard AI,150,YC OSS Startup Directory,https://www.ycombinator.com/companies/standard-ai,2026-09-04T11:45:55.962135
BIOS Health,45,YC OSS Startup Directory,https://www.ycombinator.com/companies/bios-health,2026-09-04T11:45:55.821049
Darmiyan,8,YC OSS Startup Directory,https://www.ycombinator.com/companies/darmiyan,2026-09-04T11:45:55.979680
Theorem,34,YC OSS Startup Directory,https://www.ycombinator.com/companies/theorem,2026-09-04T11:45:55.977694
Cairns Health,17,YC OSS Startup Directory,https://www.ycombinator.com/companies/cairns-health,2026-09-04T11:45:56.056279
Flock Safety,1000,YC OSS Startup Directory,https://www.ycombinator.com/companies/flock-safety,2026-09-04T11:45:55.983677
Sourceress,35,YC OSS Startup Directory,https://www.ycombinator.com/companies/sourceress,2026-09-04T11:45:56.079276
Opearlo,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/opearlo,2026-09-04T11:45:56.088378
Spect,7,YC OSS Startup Directory,https://www.ycombinator.com/companies/spect,2026-09-04T11:45:56.098945
Mystro,6,YC OSS Startup Directory,https://www.ycombinator.com/companies/mystro,2026-09-04T11:45:56.018956
Headstart,44,YC OSS Startup Directory,https://www.ycombinator.com/companies/headstart,2026-09-04T11:45:56.107212
May Mobility,260,YC OSS Startup Directory,https://www.ycombinator.com/companies/may-mobility,2026-09-04T11:45:56.134190
AssemblyAI,65,YC OSS Startup Directory,https://www.ycombinator.com/companies/assemblyai,2026-09-04T11:45:56.162188
Percept.AI,7,YC OSS Startup Directory,https://www.ycombinator.com/companies/percept-ai,2026-09-04T11:45:56.132187
10 By 10,5,YC OSS Startup Directory,https://www.ycombinator.com/companies/10-by-10,2026-09-04T11:45:56.199259
Thematic,20,YC OSS Startup Directory,https://www.ycombinator.com/companies/thematic,2026-09-04T11:45:56.214261
Commissary Club (formerly 70 Million Jobs),2,YC OSS Startup Directory,https://www.ycombinator.com/companies/commissary-club,2026-09-04T11:45:56.158188
Smarking,17,YC OSS Startup Directory,https://www.ycombinator.com/companies/smarking,2026-09-04T11:45:56.029956
Proven Group,40,YC OSS Startup Directory,https://www.ycombinator.com/companies/proven-group,2026-09-04T11:45:56.242292
FollowUpThen,1,YC OSS Startup Directory,https://www.ycombinator.com/companies/followupthen,2026-09-04T11:45:56.232281
Spellbrush,30,YC OSS Startup Directory,https://www.ycombinator.com/companies/spellbrush,2026-09-04T11:45:56.287477
Social Construct,17,YC OSS Startup Directory,https://www.ycombinator.com/companies/social-construct,2026-09-04T11:45:56.223260
Jasper,195,YC OSS Startup Directory,https://www.ycombinator.com/companies/jasper-ai,2026-09-04T11:45:56.302084
Assembly,25,YC OSS Startup Directory,https://www.ycombinator.com/companies/assembly-com,2026-09-04T11:45:56.314120
Precious,7,YC OSS Startup Directory,https://www.ycombinator.com/companies/precious,2026-09-04T11:45:56.289478
Reverie Labs,29,YC OSS Startup Directory,https://www.ycombinator.com/companies/reverie-labs,2026-09-04T11:45:56.358183
Observant AI,5,YC OSS Startup Directory,https://www.ycombinator.com/companies/observant-ai,2026-09-04T11:45:56.338159
Fondo,80,YC OSS Startup Directory,https://www.ycombinator.com/companies/fondo,2026-09-04T11:45:56.347161
Semantix,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/semantix,2026-09-04T11:45:56.364060
Edwin,14,YC OSS Startup Directory,https://www.ycombinator.com/companies/edwin,2026-09-04T11:45:56.388672
PicnicAI,100,YC OSS Startup Directory,https://www.ycombinator.com/companies/picnicai,2026-09-04T11:45:56.395191
Vathys,6,YC OSS Startup Directory,https://www.ycombinator.com/companies/vathys,2026-09-04T11:45:56.422495
Cognition IP,12,YC OSS Startup Directory,https://www.ycombinator.com/companies/cognition-ip,2026-09-04T11:45:56.439494
SharpestMinds,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/sharpestminds,2026-09-04T11:45:56.451406
Tilt (f.k.a. Delphia),25,YC OSS Startup Directory,https://www.ycombinator.com/companies/tilt-fka-delphia,2026-09-04T11:45:56.470249
Nuvocargo,100,YC OSS Startup Directory,https://www.ycombinator.com/companies/nuvocargo,2026-09-04T11:45:56.379656
Naborly,25,YC OSS Startup Directory,https://www.ycombinator.com/companies/naborly,2026-09-04T11:45:56.434497
Memora Health,115,YC OSS Startup Directory,https://www.ycombinator.com/companies/memora-health,2026-09-04T11:45:56.489282
Weekend (fmr. Volley),80,YC OSS Startup Directory,https://www.ycombinator.com/companies/weekend-fmr-volley,2026-09-04T11:45:56.452414
Observe.AI,240,YC OSS Startup Directory,https://www.ycombinator.com/companies/observe-ai,2026-09-04T11:45:56.526441
Point API,5,YC OSS Startup Directory,https://www.ycombinator.com/companies/point-api,2026-09-04T11:45:56.521436
Voicery,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/voicery,2026-09-04T11:45:56.512436
LeadGenius,50,YC OSS Startup Directory,https://www.ycombinator.com/companies/leadgenius,2026-09-04T11:45:56.555436
Helloverify,600,YC OSS Startup Directory,https://www.ycombinator.com/companies/helloverify,2026-09-04T11:45:56.566436
Jido Maps,6,YC OSS Startup Directory,https://www.ycombinator.com/companies/jido-maps,2026-09-04T11:45:56.532438
Swayable,30,YC OSS Startup Directory,https://www.ycombinator.com/companies/swayable,2026-09-04T11:45:56.589443
Within,128,YC OSS Startup Directory,https://www.ycombinator.com/companies/within,2026-09-04T11:45:56.600959
Phiar,12,YC OSS Startup Directory,https://www.ycombinator.com/companies/phiar,2026-09-04T11:45:56.613420
OWNY,10,YC OSS Startup Directory,https://www.ycombinator.com/companies/owny,2026-09-04T11:45:56.593961
"numericcal, inc.",3,YC OSS Startup Directory,https://www.ycombinator.com/companies/numericcal-inc,2026-09-04T11:45:56.634443
Orangewood Labs,40,YC OSS Startup Directory,https://www.ycombinator.com/companies/orangewood-labs,2026-09-04T11:45:56.518439
Searchlight,20,YC OSS Startup Directory,https://www.ycombinator.com/companies/searchlight,2026-09-04T11:45:56.617421
JITX,18,YC OSS Startup Directory,https://www.ycombinator.com/companies/jitx,2026-09-04T11:45:56.669461
Activeloop,15,YC OSS Startup Directory,https://www.ycombinator.com/companies/activeloop,2026-09-04T11:45:56.623447
Data Driven Bioscience,10,YC OSS Startup Directory,https://www.ycombinator.com/companies/data-driven-bioscience,2026-09-04T11:45:56.675448
64x Bio,25,YC OSS Startup Directory,https://www.ycombinator.com/companies/64x-bio,2026-09-04T11:45:56.686445
Anima App,20,YC OSS Startup Directory,https://www.ycombinator.com/companies/anima-app,2026-09-04T11:45:56.768947
LabelFlow,6,YC OSS Startup Directory,https://www.ycombinator.com/companies/labelflow,2026-09-04T11:45:56.794542
Inscribe,35,YC OSS Startup Directory,https://www.ycombinator.com/companies/inscribe,2026-09-04T11:45:56.762949
Alpha Vantage,8,YC OSS Startup Directory,https://www.ycombinator.com/companies/alpha-vantage,2026-09-04T11:45:56.823531
Regology,60,YC OSS Startup Directory,https://www.ycombinator.com/companies/regology,2026-09-04T11:45:56.800532
Leena AI,500,YC OSS Startup Directory,https://www.ycombinator.com/companies/leena-ai,2026-09-04T11:45:56.890725
TENDERD,60,YC OSS Startup Directory,https://www.ycombinator.com/companies/tenderd,2026-09-04T11:45:56.895240
Quickchat AI,7,YC OSS Startup Directory,https://www.ycombinator.com/companies/quickchat-ai,2026-09-04T11:45:56.847540
BrainHi,18,YC OSS Startup Directory,https://www.ycombinator.com/companies/brainhi,2026-09-04T11:45:56.878727
SPATE,15,YC OSS Startup Directory,https://www.ycombinator.com/companies/spate,2026-09-04T11:45:56.941221
Mutiny,20,YC OSS Startup Directory,https://www.ycombinator.com/companies/mutiny,2026-09-04T11:45:56.879727
iLabService,50,YC OSS Startup Directory,https://www.ycombinator.com/companies/ilabservice,2026-09-04T11:45:56.950228
LemonBox,20,YC OSS Startup Directory,https://www.ycombinator.com/companies/lemonbox,2026-09-04T11:45:56.940222
Aesthetic,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/aesthetic,2026-09-04T11:45:56.960229
Prodigal,99,YC OSS Startup Directory,https://www.ycombinator.com/companies/prodigal,2026-09-04T11:45:56.980826
Shelf Engine,40,YC OSS Startup Directory,https://www.ycombinator.com/companies/shelf-engine,2026-09-04T11:45:56.859721
Kunduz,85,YC OSS Startup Directory,https://www.ycombinator.com/companies/kunduz,2026-09-04T11:45:57.005948
Overview,40,YC OSS Startup Directory,https://www.ycombinator.com/companies/overview,2026-09-04T11:45:57.031318
AllSome Fulfillment,18,YC OSS Startup Directory,https://www.ycombinator.com/companies/allsome-fulfillment,2026-09-04T11:45:57.056325
Hatch,73,YC OSS Startup Directory,https://www.ycombinator.com/companies/hatch,2026-09-04T11:45:57.069586
Windsor,5,YC OSS Startup Directory,https://www.ycombinator.com/companies/windsor,2026-09-04T11:45:57.062506
Pachama,85,YC OSS Startup Directory,https://www.ycombinator.com/companies/pachama,2026-09-04T11:45:57.052323
Centaur,45,YC OSS Startup Directory,https://www.ycombinator.com/companies/centaur,2026-09-04T11:45:57.049323
BrainKey,20,YC OSS Startup Directory,https://www.ycombinator.com/companies/brainkey,2026-09-04T11:45:57.131060
Weave,11,YC OSS Startup Directory,https://www.ycombinator.com/companies/weave-2,2026-09-04T11:45:57.083104
Basilica,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/basilica,2026-09-04T11:45:57.186068
Sapling.ai,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/sapling-ai,2026-09-04T11:45:57.162075
Demodesk,25,YC OSS Startup Directory,https://www.ycombinator.com/companies/demodesk,2026-09-04T11:45:57.194598
Lyrebird,13,YC OSS Startup Directory,https://www.ycombinator.com/companies/lyrebird,2026-09-04T11:45:56.210258
AI Insurance,16,YC OSS Startup Directory,https://www.ycombinator.com/companies/ai-insurance,2026-09-04T11:45:57.198609
Evo.Do,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/evo-do,2026-09-04T11:45:57.218822
Community Phone Company,101,YC OSS Startup Directory,https://www.ycombinator.com/companies/community-phone-company,2026-09-04T11:45:57.149061
Docucharm,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/docucharm,2026-09-04T11:45:57.243018
Askdata,17,YC OSS Startup Directory,https://www.ycombinator.com/companies/askdata,2026-09-04T11:45:57.250028
Scribe,15,YC OSS Startup Directory,https://www.ycombinator.com/companies/scribe,2026-09-04T11:45:55.634358
Plivo,320,YC OSS Startup Directory,https://www.ycombinator.com/companies/plivo,2026-09-04T11:45:57.286856
Hypnos,3,YC OSS Startup Directory,https://www.ycombinator.com/companies/hypnos,2026-09-04T11:45:57.297394
Flockjay,10,YC OSS Startup Directory,https://www.ycombinator.com/companies/flockjay,2026-09-04T11:45:57.076096
Bunkerhill Health,30,YC OSS Startup Directory,https://www.ycombinator.com/companies/bunkerhill-health,2026-09-04T11:45:57.277846
Autodial prev Qwest,1,YC OSS Startup Directory,https://www.ycombinator.com/companies/autodial-prev-qwest,2026-09-04T11:45:57.283857
Probably Genetic,17,YC OSS Startup Directory,https://www.ycombinator.com/companies/probably-genetic,2026-09-04T11:45:57.293368
Superb AI,80,YC OSS Startup Directory,https://www.ycombinator.com/companies/superb-ai,2026-09-04T11:45:57.339485
Mars Auto,15,YC OSS Startup Directory,https://www.ycombinator.com/companies/mars-auto,2026-09-04T11:45:57.363480
Tailor-ED,10,YC OSS Startup Directory,https://www.ycombinator.com/companies/tailor-ed,2026-09-04T11:45:57.372481
Sublime Black,,YC OSS Startup Directory,https://www.ycombinator.com/companies/sublime-black,2026-09-04T11:45:57.377487
Superorder,30,YC OSS Startup Directory,https://www.ycombinator.com/companies/superorder,2026-09-04T11:45:57.270848
AXDRAFT,34,YC OSS Startup Directory,https://www.ycombinator.com/companies/axdraft,2026-09-04T11:45:57.382489
Glide,46,YC OSS Startup Directory,https://www.ycombinator.com/companies/glide,2026-09-04T11:45:57.379537
Tailornova/Couturme,9,YC OSS Startup Directory,https://www.ycombinator.com/companies/tailornova-couturme,2026-09-04T11:45:57.129063
Playground,3,YC OSS Startup Directory,https://www.ycombinator.com/companies/playground,2026-09-04T11:45:57.424568
Spiral Genetics,7,YC OSS Startup Directory,https://www.ycombinator.com/companies/spiral-genetics,2026-09-04T11:45:57.445793
Palifer,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/palifer,2026-09-04T11:45:57.449803
Allure Systems,18,YC OSS Startup Directory,https://www.ycombinator.com/companies/allure-systems,2026-09-04T11:45:57.443784
Well Principled,3,YC OSS Startup Directory,https://www.ycombinator.com/companies/well-principled,2026-09-04T11:45:57.494598
Symplex,8,YC OSS Startup Directory,https://www.ycombinator.com/companies/symplex,2026-09-04T11:45:57.503606
TRM Labs,400,YC OSS Startup Directory,https://www.ycombinator.com/companies/trm-labs,2026-09-04T11:45:57.499587
Figments,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/figments,2026-09-04T11:45:57.474322
"OutRival, Inc.",15,YC OSS Startup Directory,https://www.ycombinator.com/companies/outrival-inc,2026-09-04T11:45:57.492328
Kraftful,6,YC OSS Startup Directory,https://www.ycombinator.com/companies/kraftful,2026-09-04T11:45:57.521589
Dashblock,3,YC OSS Startup Directory,https://www.ycombinator.com/companies/dashblock,2026-09-04T11:45:57.547088
Short Story,120,YC OSS Startup Directory,https://www.ycombinator.com/companies/short-story,2026-09-04T11:45:57.482388
Lantern,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/lantern,2026-09-04T11:45:57.528588
Soteris,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/soteris,2026-09-04T11:45:57.540588
GEn1E Lifesciences,,YC OSS Startup Directory,https://www.ycombinator.com/companies/gen1e-lifesciences,2026-09-04T11:45:57.589158
Yummy Future,7,YC OSS Startup Directory,https://www.ycombinator.com/companies/yummy-future,2026-09-04T11:45:57.595210
Shiru,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/shiru,2026-09-04T11:45:57.587159
Milo,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/milo,2026-09-04T11:45:57.621073
Chaos Genius,10,YC OSS Startup Directory,https://www.ycombinator.com/companies/chaos-genius,2026-09-04T11:45:57.603943
Ramen VR,15,YC OSS Startup Directory,https://www.ycombinator.com/companies/ramen-vr,2026-09-04T11:45:57.663052
Rain Neuromorphics,12,YC OSS Startup Directory,https://www.ycombinator.com/companies/rain-neuromorphics,2026-09-04T11:45:57.704522
Traces,10,YC OSS Startup Directory,https://www.ycombinator.com/companies/traces,2026-09-04T11:45:57.712043
PredictLeads,37,YC OSS Startup Directory,https://www.ycombinator.com/companies/predictleads,2026-09-04T11:45:57.707523
Flowbot,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/flowbot,2026-09-04T11:45:57.715043
Plasticity,2,YC OSS Startup Directory,https://www.ycombinator.com/companies/plasticity,2026-09-04T11:45:57.728051
Hightouch,200,YC OSS Startup Directory,https://www.ycombinator.com/companies/hightouch,2026-09-04T11:45:57.688487
Taskade,6,YC OSS Startup Directory,https://www.ycombinator.com/companies/taskade,2026-09-04T11:45:57.749551
Meridian Industries,6,YC OSS Startup Directory,https://www.ycombinator.com/companies/meridian-industries,2026-09-04T11:45:57.755552
Motion,65,YC OSS Startup Directory,https://www.ycombinator.com/companies/motion,2026-09-04T11:45:57.771628
Flowglad,7,YC OSS Startup Directory,https://www.ycombinator.com/companies/flowglad,2026-09-04T11:45:57.786654
Deepnote,,YC OSS Startup Directory,https://www.ycombinator.com/companies/deepnote,2026-09-04T11:45:57.775630
Abalone Bio,14,YC OSS Startup Directory,https://www.ycombinator.com/companies/abalone-bio,2026-09-04T11:45:57.818247
StratumAI,5,YC OSS Startup Directory,https://www.ycombinator.com/companies/stratumai,2026-09-04T11:45:57.832242
MindsDB,41,YC OSS Startup Directory,https://www.ycombinator.com/companies/mindsdb,2026-09-04T11:45:57.842251
Segmed,32,YC OSS Startup Directory,https://www.ycombinator.com/companies/segmed,2026-09-04T11:45:57.860249
Vahan,85,YC OSS Startup Directory,https://www.ycombinator.com/companies/vahan,2026-09-04T11:45:57.840244
Pachyderm,60,YC OSS Startup Directory,https://www.ycombinator.com/companies/pachyderm,2026-09-04T11:45:54.971887
Finlens,6,YC OSS Startup Directory,https://www.ycombinator.com/companies/finlens,2026-09-04T11:45:57.869764
Letterdrop,10,YC OSS Startup Directory,https://www.ycombinator.com/companies/letterdrop,2026-09-04T11:45:57.853251
Glisten AI,1,YC OSS Startup Directory,https://www.ycombinator.com/companies/glisten-ai,2026-09-04T11:45:57.917116
Orbiter,3,YC OSS Startup Directory,https://www.ycombinator.com/companies/orbiter,2026-09-04T11:45:57.901119
FitnessAI,1,YC OSS Startup Directory,https://www.ycombinator.com/companies/fitnessai,2026-09-04T11:45:57.932433
RankScience,16,YC OSS Startup Directory,https://www.ycombinator.com/companies/rankscience,2026-09-04T11:45:55.728863
Taiv,40,YC OSS Startup Directory,https://www.ycombinator.com/companies/taiv,2026-09-04T11:45:57.907116
Phonic,8,YC OSS Startup Directory,https://www.ycombinator.com/companies/phonic,2026-09-04T11:45:57.895116
Ardis AI,3,YC OSS Startup Directory,https://www.ycombinator.com/companies/ardis-ai,2026-09-04T11:45:57.985244
Clayboard,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/clayboard,2026-09-04T11:45:58.007454
Aden,5,YC OSS Startup Directory,https://www.ycombinator.com/companies/aden,2026-09-04T11:45:58.028573
Perceptive Technologies,25,YC OSS Startup Directory,https://www.ycombinator.com/companies/perceptive-technologies,2026-09-04T11:45:57.995926
Operator.io,6,YC OSS Startup Directory,https://www.ycombinator.com/companies/operatorio,2026-09-04T11:45:58.045569
Visual One,4,YC OSS Startup Directory,https://www.ycombinator.com/companies/visual-one,2026-09-04T11:45:58.032572
Scout,1,YC OSS Startup Directory,https://www.ycombinator.com/companies/scout,2026-09-04T11:45:58.071101
Replicate,36,YC OSS Startup Directory,https://www.ycombinator.com/companies/replicate,2026-09-04T11:45:57.988246
Turing Labs Inc.,5,YC OSS Startup Directory,https://www.ycombinator.com/companies/turing-labs-inc,2026-09-04T11:45:58.076105
Embrace,62,YC OSS Startup Directory,https://www.ycombinator.com/companies/embrace,2026-09-04T11:45:57.599943
QueryPie AI,70,YC OSS Startup Directory,https://www.ycombinator.com/companies/querypie-ai,2026-09-04T11:45:58.107705
Trident Bioscience,1,YC OSS Startup Directory,https://www.ycombinator.com/companies/trident-bioscience,2026-09-04T11:45:58.150739
Dropbase,8,YC OSS Startup Directory,https://www.ycombinator.com/companies/dropbase,2026-09-04T11:45:58.151759
Basedash,6,YC OSS Startup Directory,https://www.ycombinator.com/companies/basedash,2026-09-04T11:45:58.144739
Typedream,5,YC OSS Startup Directory,https://www.ycombinator.com/companies/typedream,2026-09-04T11:45:58.146739
