startupName,pricingModel,source.name,source.url,collectedAt
D-ID,FREEMIUM,YC OSS Startup Directory (product surface),http://www.d-id.com/,2026-09-04T10:29:07.838846
OpenCurriculum,FREEMIUM,YC OSS Startup Directory (product surface),https://opencurriculum.org/,2026-09-04T10:29:07.849715
Thematic,ENTERPRISE,YC OSS Startup Directory (product surface),http://www.getthematic.com/,2026-09-04T10:29:08.236340
FollowUpThen,FREEMIUM,YC OSS Startup Directory (product surface),https://www.followupthen.com/,2026-09-04T10:29:08.281244
Fondo,ENTERPRISE,YC OSS Startup Directory (product surface),https://fondo.com/,2026-09-04T10:29:08.583171
Assembly,FREEMIUM,YC OSS Startup Directory (product surface),https://www.assembly.com/,2026-09-04T10:29:09.190188
Jasper,FREE,YC OSS Startup Directory (product surface),https://jasper.ai/,2026-09-04T10:29:09.207905
10 By 10,FREE,YC OSS Startup Directory (product surface),https://10by10.io/,2026-09-04T10:29:09.332368
Promise,ENTERPRISE,YC OSS Startup Directory (product surface),http://promise-pay.com/,2026-09-04T10:29:09.495982
Orangewood Labs,ENTERPRISE,YC OSS Startup Directory (product surface),http://www.orangewood.co/,2026-09-04T10:29:09.611212
Within,ENTERPRISE,YC OSS Startup Directory (product surface),http://within.ai/,2026-09-04T10:29:10.420447
Anima App,FREE,YC OSS Startup Directory (product surface),https://www.animaapp.com/,2026-09-04T10:29:10.619247
Activeloop,ENTERPRISE,YC OSS Startup Directory (product surface),https://activeloop.ai/,2026-09-04T10:29:10.630531
Inscribe,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.inscribe.ai/,2026-09-04T10:29:10.652270
Swayable,ENTERPRISE,YC OSS Startup Directory (product surface),http://swayable.com/,2026-09-04T10:29:11.074332
Quickchat AI,FREEMIUM,YC OSS Startup Directory (product surface),https://quickchat.ai/,2026-09-04T10:29:11.358268
SPATE,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.spate.nyc/,2026-09-04T10:29:11.729633
Leena AI,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.leena.ai/,2026-09-04T10:29:11.729633
Centaur,ENTERPRISE,YC OSS Startup Directory (product surface),https://centaur.ai/,2026-09-04T10:29:12.024416
Overview,ENTERPRISE,YC OSS Startup Directory (product surface),https://overview.ai/,2026-09-04T10:29:12.592669
Lyrebird,ENTERPRISE,YC OSS Startup Directory (product surface),https://lyrebird.ai/,2026-09-04T10:29:12.596670
Naborly,PAID,YC OSS Startup Directory (product surface),https://naborly.com/,2026-09-04T10:29:12.593669
Community Phone Company,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.communityphone.org/,2026-09-04T10:29:12.590672
Glide,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.glideapps.com/,2026-09-04T10:29:13.633765
AI Insurance,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.aiinsurance.io/,2026-09-04T10:29:13.892313
TENDERD,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.tenderd.com/,2026-09-04T10:29:14.004334
Sapling.ai,FREEMIUM,YC OSS Startup Directory (product surface),https://sapling.ai/pricing,2026-09-04T10:29:14.972343
"OutRival, Inc.",ENTERPRISE,YC OSS Startup Directory (product surface),https://outrival.com/,2026-09-04T10:29:15.108320
Demodesk,FREEMIUM,YC OSS Startup Directory (product surface),https://demodesk.com/,2026-09-04T10:29:15.116326
Superb AI,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.superb-ai.com/en/pricing,2026-09-04T10:29:15.891923
Embrace,FREEMIUM,YC OSS Startup Directory (product surface),https://embrace.io/pricing/,2026-09-04T10:29:16.326071
Chaos Genius,ENTERPRISE,YC OSS Startup Directory (product surface),http://www.chaosgenius.io/,2026-09-04T10:29:16.914283
Taskade,FREEMIUM,YC OSS Startup Directory (product surface),https://www.taskade.com/,2026-09-04T10:29:17.409761
Vahan,ENTERPRISE,YC OSS Startup Directory (product surface),https://vahan.ai/,2026-09-04T10:29:17.440627
Finlens,FREEMIUM,YC OSS Startup Directory (product surface),https://finlens.app/,2026-09-04T10:29:17.591598
Hightouch,FREE,YC OSS Startup Directory (product surface),https://hightouch.com/pricing,2026-09-04T10:29:17.681281
Flowglad,PAID,YC OSS Startup Directory (product surface),https://flowglad.com/,2026-09-04T10:29:18.930580
Deepnote,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.deepnote.com/,2026-09-04T10:29:19.361109
Figments,PAID,YC OSS Startup Directory (product surface),https://plotdrive.com/,2026-09-04T10:29:19.362103
Aden,ENTERPRISE,YC OSS Startup Directory (product surface),https://adenhq.com/,2026-09-04T10:29:19.572747
MindsDB,FREEMIUM,YC OSS Startup Directory (product surface),https://www.mindsdb.com/,2026-09-04T10:29:19.575747
Phonic,ENTERPRISE,YC OSS Startup Directory (product surface),https://phonic.ai/,2026-09-04T10:29:19.626237
Datasaur,ENTERPRISE,YC OSS Startup Directory (product surface),https://datasaur.ai/pricing,2026-09-04T10:29:19.853082
Handoff,FREEMIUM,YC OSS Startup Directory (product surface),https://www.handoff.ai/,2026-09-04T10:29:19.867540
Basedash,FREEMIUM,YC OSS Startup Directory (product surface),https://www.basedash.com/,2026-09-04T10:29:20.177982
Taiv,FREE,YC OSS Startup Directory (product surface),https://taiv.tv/pricing,2026-09-04T10:29:20.204082
Photoroom,FREEMIUM,YC OSS Startup Directory (product surface),https://photoroom.com/,2026-09-04T10:29:21.096517
Superorder,ENTERPRISE,YC OSS Startup Directory (product surface),https://superorder.com/pricing,2026-09-04T10:29:21.202202
Typedream,FREEMIUM,YC OSS Startup Directory (product surface),https://typedream.com/pricing,2026-09-04T10:29:21.640437
Airbyte,ENTERPRISE,YC OSS Startup Directory (product surface),https://airbyte.com/,2026-09-04T10:29:21.864262
Roboflow,ENTERPRISE,YC OSS Startup Directory (product surface),https://roboflow.com/,2026-09-04T10:29:22.458731
Skypher,ENTERPRISE,YC OSS Startup Directory (product surface),https://skypher.co/,2026-09-04T10:29:22.461731
Dashworks,PAID,YC OSS Startup Directory (product surface),http://www.dashworks.ai/pricing,2026-09-04T10:29:22.852213
Recall.ai,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.recall.ai/pricing,2026-09-04T10:29:23.002853
DeepSource,ENTERPRISE,YC OSS Startup Directory (product surface),https://deepsource.com/,2026-09-04T10:29:23.404131
Blue Onion,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.blueonion.ai/,2026-09-04T10:29:23.533316
Draftwise,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.draftwise.com/,2026-09-04T10:29:24.120325
Cohere,ENTERPRISE,YC OSS Startup Directory (product surface),https://cohere.io/,2026-09-04T10:29:24.175875
Heron Data,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.herondata.io/,2026-09-04T10:29:24.353631
"Warmly,",ENTERPRISE,YC OSS Startup Directory (product surface),https://www.warmly.ai/,2026-09-04T10:29:24.418753
Datafold,ENTERPRISE,YC OSS Startup Directory (product surface),https://datafold.com/,2026-09-04T10:29:24.746893
Glimpse,ENTERPRISE,YC OSS Startup Directory (product surface),https://tryglimpse.com/,2026-09-04T10:29:25.368243
authzed,ENTERPRISE,YC OSS Startup Directory (product surface),https://authzed.com/,2026-09-04T10:29:25.796615
inFeedo AI,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.infeedo.ai/pricing,2026-09-04T10:29:25.808008
Nextera Robotics | DIDGE.ai,ENTERPRISE,YC OSS Startup Directory (product surface),https://nexterarobotics.com/,2026-09-04T10:29:25.823748
RocketSDR,ENTERPRISE,YC OSS Startup Directory (product surface),https://rocketsdr.ai/,2026-09-04T10:29:25.934900
arnata,ENTERPRISE,YC OSS Startup Directory (product surface),https://arnata.com/,2026-09-04T10:29:26.121427
Avocado,ENTERPRISE,YC OSS Startup Directory (product surface),https://avocadopos.com/,2026-09-04T10:29:26.432725
BIK,ENTERPRISE,YC OSS Startup Directory (product surface),https://bik.ai/,2026-09-04T10:29:27.051916
Vapi,PAID,YC OSS Startup Directory (product surface),https://vapi.ai/pricing,2026-09-04T10:29:27.148661
Popl,ENTERPRISE,YC OSS Startup Directory (product surface),https://popl.co/,2026-09-04T10:29:27.905589
Vogent,ENTERPRISE,YC OSS Startup Directory (product surface),https://vogent.ai/,2026-09-04T10:29:27.907627
Fathom,FREEMIUM,YC OSS Startup Directory (product surface),https://www.fathom.ai/,2026-09-04T10:29:28.006058
Mindee,ENTERPRISE,YC OSS Startup Directory (product surface),https://mindee.com/pricing,2026-09-04T10:29:28.802467
Fieldguide,ENTERPRISE,YC OSS Startup Directory (product surface),http://fieldguide.com/,2026-09-04T10:29:28.805470
Fountain9,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.fountain9.com/,2026-09-04T10:29:28.804467
Simplify,FREE,YC OSS Startup Directory (product surface),https://simplify.jobs/,2026-09-04T10:29:28.849568
Rinsed,PAID,YC OSS Startup Directory (product surface),https://www.rinsed.com/pricing,2026-09-04T10:29:29.204425
ZOKO,PAID,YC OSS Startup Directory (product surface),https://www.zoko.io/pricing,2026-09-04T10:29:29.283164
Humaans,ENTERPRISE,YC OSS Startup Directory (product surface),https://humaans.io/,2026-09-04T10:29:29.371040
Reclaim Protocol,FREE,YC OSS Startup Directory (product surface),https://reclaimprotocol.org/,2026-09-04T10:29:29.496688
LiveFlow,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.liveflow.com/,2026-09-04T10:29:29.584318
Lamar Health,ENTERPRISE,YC OSS Startup Directory (product surface),http://www.lamarhealth.com/,2026-09-04T10:29:29.584318
Spline,PAID,YC OSS Startup Directory (product surface),http://spline.design/pricing,2026-09-04T10:29:30.004022
BusinessOnBot,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.businessonbot.com/,2026-09-04T10:29:30.064285
Compose.ai,FREE,YC OSS Startup Directory (product surface),https://compose.ai/,2026-09-04T10:29:30.654648
Navattic,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.navattic.com/,2026-09-04T10:29:30.764177
Rejoy Health,FREE,YC OSS Startup Directory (product surface),https://www.rejoyhealth.com/,2026-09-04T10:29:30.850022
Encord,ENTERPRISE,YC OSS Startup Directory (product surface),https://encord.com/,2026-09-04T10:29:31.153290
Ollama,FREEMIUM,YC OSS Startup Directory (product surface),https://ollama.com/,2026-09-04T10:29:31.465410
PipeBio,ENTERPRISE,YC OSS Startup Directory (product surface),https://pipebio.com/,2026-09-04T10:29:31.468422
Serif Health,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.serifhealth.com/,2026-09-04T10:29:31.662973
Waydev,ENTERPRISE,YC OSS Startup Directory (product surface),https://waydev.co/,2026-09-04T10:29:31.848582
Potion,FREEMIUM,YC OSS Startup Directory (product surface),https://www.potion.ai/,2026-09-04T10:29:32.204161
Openlayer,FREE,YC OSS Startup Directory (product surface),https://openlayer.com/,2026-09-04T10:29:32.365049
Superwall,PAID,YC OSS Startup Directory (product surface),https://superwall.com/,2026-09-04T10:29:32.499481
Confido,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.confidotech.com/,2026-09-04T10:29:32.515220
Affogato AI,PAID,YC OSS Startup Directory (product surface),https://affogato.ai/,2026-09-04T10:29:32.558785
Journey,FREEMIUM,YC OSS Startup Directory (product surface),http://journey.io/pricing,2026-09-04T10:29:32.680691
Anakin,FREEMIUM,YC OSS Startup Directory (product surface),https://anakin.io/,2026-09-04T10:29:33.137270
Replo,ENTERPRISE,YC OSS Startup Directory (product surface),https://replo.app/,2026-09-04T10:29:33.403035
Dailybot,FREEMIUM,YC OSS Startup Directory (product surface),https://www.dailybot.com/,2026-09-04T10:29:33.462151
SnapCalorie,FREE,YC OSS Startup Directory (product surface),https://www.snapcalorie.com/,2026-09-04T10:29:33.503139
Routine,FREEMIUM,YC OSS Startup Directory (product surface),http://routine.co/pricing,2026-09-04T10:29:33.907315
SalaryBox,FREEMIUM,YC OSS Startup Directory (product surface),https://salarybox.in/,2026-09-04T10:29:33.987852
Bite Ninja,ENTERPRISE,YC OSS Startup Directory (product surface),http://www.biteninja.com/,2026-09-04T10:29:34.600640
Verihubs,ENTERPRISE,YC OSS Startup Directory (product surface),https://verihubs.com/pricing/,2026-09-04T10:29:35.621516
Tavus,FREEMIUM,YC OSS Startup Directory (product surface),https://www.tavus.io/pricing,2026-09-04T10:29:35.620516
FirstQuadrant,PAID,YC OSS Startup Directory (product surface),https://firstquadrant.ai/pricing,2026-09-04T10:29:35.623515
MindFi,FREE,YC OSS Startup Directory (product surface),https://www.mindfi.co/,2026-09-04T10:29:36.844393
Tiriel AI,PAID,YC OSS Startup Directory (product surface),https://tiriel.ai/,2026-09-04T10:29:37.021647
Kaya,FREE,YC OSS Startup Directory (product surface),https://www.usekaya.com/,2026-09-04T10:29:37.503311
WarpBuild,PAID,YC OSS Startup Directory (product surface),https://www.warpbuild.com/pricing,2026-09-04T10:29:37.766532
Coinrule,FREEMIUM,YC OSS Startup Directory (product surface),https://coinrule.com/,2026-09-04T10:29:37.915117
Malloc Inc,FREE,YC OSS Startup Directory (product surface),https://mallocprivacy.com/,2026-09-04T10:29:37.914118
OneSchema,PAID,YC OSS Startup Directory (product surface),https://www.oneschema.co/pricing,2026-09-04T10:29:37.948072
Miniloop,ENTERPRISE,YC OSS Startup Directory (product surface),https://miniloop.ai/pricing,2026-09-04T10:29:38.120098
Milky Way AI,ENTERPRISE,YC OSS Startup Directory (product surface),https://milkyway.ai/,2026-09-04T10:29:38.343517
Scispot,ENTERPRISE,YC OSS Startup Directory (product surface),https://scispot.io/,2026-09-04T10:29:38.423962
GetDot,ENTERPRISE,YC OSS Startup Directory (product surface),https://getdot.ai/,2026-09-04T10:29:38.881259
Writesonic,ENTERPRISE,YC OSS Startup Directory (product surface),https://writesonic.com/,2026-09-04T10:29:38.880255
Telmai,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.telm.ai/,2026-09-04T10:29:38.921812
Zuma,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.getzuma.com/,2026-09-04T10:29:38.941124
Shape,PAID,YC OSS Startup Directory (product surface),https://shape.xyz/,2026-09-04T10:29:39.230944
ContraForce,PAID,YC OSS Startup Directory (product surface),https://www.contraforce.com/,2026-09-04T10:29:39.497687
Exa,ENTERPRISE,YC OSS Startup Directory (product surface),https://exa.ai/,2026-09-04T10:29:39.706946
Lightly,ENTERPRISE,YC OSS Startup Directory (product surface),https://lightly.ai/,2026-09-04T10:29:39.828441
Squire.ai,ENTERPRISE,YC OSS Startup Directory (product surface),https://squire.ai/,2026-09-04T10:29:40.136712
Hudson Labs (formerly Bedrock AI),FREE,YC OSS Startup Directory (product surface),https://www.hudson-labs.com/,2026-09-04T10:29:40.316536
Andi,FREEMIUM,YC OSS Startup Directory (product surface),https://andiai.com/,2026-09-04T10:29:40.378754
SilkChart,FREEMIUM,YC OSS Startup Directory (product surface),https://www.silkchart.com/,2026-09-04T10:29:41.003292
Trellus,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.trellus.ai/pricing,2026-09-04T10:29:41.065057
Strac,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.strac.io/,2026-09-04T10:29:41.282526
Capuchin,ENTERPRISE,YC OSS Startup Directory (product surface),https://capuchin.ai/,2026-09-04T10:29:41.353785
Sully.ai,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.sully.ai/,2026-09-04T10:29:41.915422
PromptLoop,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.promptloop.com/,2026-09-04T10:29:41.932335
Tenyks,ENTERPRISE,YC OSS Startup Directory (product surface),http://tenyks.ai/,2026-09-04T10:29:42.875754
Cozmo AI,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.hellocozmo.ai/,2026-09-04T10:29:42.932523
Nyckel,FREEMIUM,YC OSS Startup Directory (product surface),https://www.nyckel.com/pricing/,2026-09-04T10:29:43.064845
Kaso,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.kaso.ai/,2026-09-04T10:29:43.061842
Sei AI,ENTERPRISE,YC OSS Startup Directory (product surface),https://seiright.com/,2026-09-04T10:29:43.126238
Spinach AI,ENTERPRISE,YC OSS Startup Directory (product surface),https://spinach.ai/,2026-09-04T10:29:43.798986
Unlayer,ENTERPRISE,YC OSS Startup Directory (product surface),https://unlayer.com/,2026-09-04T10:29:43.873075
InferEdge,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.inferedge.com/,2026-09-04T10:29:43.957886
Dynamo AI,ENTERPRISE,YC OSS Startup Directory (product surface),https://dynamo.ai/,2026-09-04T10:29:44.014150
Cerebrium,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.cerebrium.ai/,2026-09-04T10:29:44.326792
Invert,ENTERPRISE,YC OSS Startup Directory (product surface),http://www.invertbio.com/,2026-09-04T10:29:44.344648
Versable,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.versableai.com/,2026-09-04T10:29:44.592741
Dart,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.dartai.com/,2026-09-04T10:29:44.838200
Emobi,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.emobi.ai/,2026-09-04T10:29:44.894732
LanceDB,PAID,YC OSS Startup Directory (product surface),https://lancedb.com/,2026-09-04T10:29:45.044957
Sphere,PAID,YC OSS Startup Directory (product surface),https://www.getsphere.com/pricing,2026-09-04T10:29:45.158079
Beam,PAID,YC OSS Startup Directory (product surface),https://beam.cloud/pricing,2026-09-04T10:29:45.163078
PermitFlow,ENTERPRISE,YC OSS Startup Directory (product surface),http://www.permitflow.com/,2026-09-04T10:29:45.915239
Velt,FREE,YC OSS Startup Directory (product surface),https://velt.dev/,2026-09-04T10:29:46.091531
Cogram,ENTERPRISE,YC OSS Startup Directory (product surface),https://cogram.com/,2026-09-04T10:29:46.126632
Dioptra,PAID,YC OSS Startup Directory (product surface),https://dioptra.ai/pricing,2026-09-04T10:29:46.334478
Curacel,ENTERPRISE,YC OSS Startup Directory (product surface),https://curacel.co/,2026-09-04T10:29:46.750020
BotCity,ENTERPRISE,YC OSS Startup Directory (product surface),https://botcity.dev/,2026-09-04T10:29:46.850335
Siftly,FREEMIUM,YC OSS Startup Directory (product surface),https://siftly.ai/,2026-09-04T10:29:47.322225
Lovage,FREE,YC OSS Startup Directory (product surface),https://getlovage.com/,2026-09-04T10:29:47.331861
Cotera,ENTERPRISE,YC OSS Startup Directory (product surface),https://cotera.co/pricing,2026-09-04T10:29:47.327354
MosaicVoice,ENTERPRISE,YC OSS Startup Directory (product surface),https://mosaicvoice.ai/,2026-09-04T10:29:47.415864
Sprites,ENTERPRISE,YC OSS Startup Directory (product surface),https://sprites.ai/,2026-09-04T10:29:47.638727
SmartHelio,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.smarthelio.com/,2026-09-04T10:29:47.639727
Vimmerse,ENTERPRISE,YC OSS Startup Directory (product surface),https://vimmerse.net/,2026-09-04T10:29:47.723555
Top Road,FREE,YC OSS Startup Directory (product surface),https://toproad.ai/,2026-09-04T10:29:47.814597
Spade,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.spade.com/,2026-09-04T10:29:48.560313
IoTFlows Inc,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.iotflows.com/products/beamtracker/pricing,2026-09-04T10:29:48.571639
Theneo,ENTERPRISE,YC OSS Startup Directory (product surface),https://theneo.io/,2026-09-04T10:29:48.589184
Blink,FREEMIUM,YC OSS Startup Directory (product surface),https://blink.new/,2026-09-04T10:29:49.507735
Bemlo,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.bemlo.com/en,2026-09-04T10:29:49.524741
Lifecast,FREEMIUM,YC OSS Startup Directory (product surface),https://github.com/pricing,2026-09-04T10:29:49.530841
Heptabase,PAID,YC OSS Startup Directory (product surface),https://heptabase.com/pricing,2026-09-04T10:29:49.812194
KorrAI,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.korrai.com/,2026-09-04T10:29:49.877476
Postal,ENTERPRISE,YC OSS Startup Directory (product surface),https://usepostal.com/,2026-09-04T10:29:50.126067
MSPilot,ENTERPRISE,YC OSS Startup Directory (product surface),https://mspilot.io/,2026-09-04T10:29:50.184210
voize,ENTERPRISE,YC OSS Startup Directory (product surface),https://voize.de/,2026-09-04T10:29:50.636490
GovDash,ENTERPRISE,YC OSS Startup Directory (product surface),https://govdash.com/,2026-09-04T10:29:50.640668
Wolfia,ENTERPRISE,YC OSS Startup Directory (product surface),https://wolfia.com/,2026-09-04T10:29:50.602966
Cellbyte,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.cellbyte.com/,2026-09-04T10:29:50.808890
Star,PAID,YC OSS Startup Directory (product surface),https://buildwithstar.com/,2026-09-04T10:29:50.952547
Elessar,PAID,YC OSS Startup Directory (product surface),https://www.getelessar.com/,2026-09-04T10:29:51.322348
Humand,ENTERPRISE,YC OSS Startup Directory (product surface),https://humand.co/,2026-09-04T10:29:51.359470
Layerup,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.uselayerup.com/,2026-09-04T10:29:51.382698
Two Dots,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.twodots.com/,2026-09-04T10:29:51.378528
Ciro,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.ciro.io/,2026-09-04T10:29:51.507519
Impractical,ENTERPRISE,YC OSS Startup Directory (product surface),https://impractical.ai/,2026-09-04T10:29:52.099654
Activepieces,FREEMIUM,YC OSS Startup Directory (product surface),https://www.activepieces.com/,2026-09-04T10:29:52.360586
Midplane,FREE,YC OSS Startup Directory (product surface),https://midplane.ai/,2026-09-04T10:29:52.374585
Craze,PAID,YC OSS Startup Directory (product surface),https://www.craze.ai/?utm_source=yc,2026-09-04T10:29:52.508487
Paragon AI,ENTERPRISE,YC OSS Startup Directory (product surface),https://paragon.ai/,2026-09-04T10:29:53.192327
Bunting Labs,PAID,YC OSS Startup Directory (product surface),https://buntinglabs.com/pricing,2026-09-04T10:29:53.208326
Typewise,FREEMIUM,YC OSS Startup Directory (product surface),https://typewise.app/,2026-09-04T10:29:53.242172
Provision,ENTERPRISE,YC OSS Startup Directory (product surface),https://provision.com/,2026-09-04T10:29:53.254206
Namecard.ai,FREEMIUM,YC OSS Startup Directory (product surface),https://namecard.ai/,2026-09-04T10:29:53.212330
Juicebox,ENTERPRISE,YC OSS Startup Directory (product surface),https://juicebox.ai/,2026-09-04T10:29:53.207327
Thera,PAID,YC OSS Startup Directory (product surface),https://www.getthera.com/pricing,2026-09-04T10:29:53.210330
Peoplebox.ai,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.peoplebox.ai/,2026-09-04T10:29:53.450528
Flair Labs,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.flairlabs.ai/,2026-09-04T10:29:53.630200
Metriport,ENTERPRISE,YC OSS Startup Directory (product surface),https://metriport.com/,2026-09-04T10:29:54.485477
Fini,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.usefini.com/,2026-09-04T10:29:54.486587
Unthread,ENTERPRISE,YC OSS Startup Directory (product surface),https://unthread.io/,2026-09-04T10:29:54.491478
Feather,ENTERPRISE,YC OSS Startup Directory (product surface),https://featherhq.com/,2026-09-04T10:29:54.569429
Atlas,FREE,YC OSS Startup Directory (product surface),https://atlaswork.ai/,2026-09-04T10:29:54.620470
NewsCatcher,ENTERPRISE,YC OSS Startup Directory (product surface),https://newscatcherapi.com/,2026-09-04T10:29:54.633970
Rima AI (formerly Garage),ENTERPRISE,YC OSS Startup Directory (product surface),https://www.getrima.ai/,2026-09-04T10:29:54.550101
Ad Army,FREEMIUM,YC OSS Startup Directory (product surface),https://ad.army/,2026-09-04T10:29:54.848720
Wondercraft,ENTERPRISE,YC OSS Startup Directory (product surface),https://wondercraft.ai/,2026-09-04T10:29:55.180344
Oneleet,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.oneleet.com/?utm_source=yc&utm_medium=bookface,2026-09-04T10:29:56.135063
Firecrawl,FREE,YC OSS Startup Directory (product surface),https://www.firecrawl.dev/,2026-09-04T10:29:56.146579
Clearline,ENTERPRISE,YC OSS Startup Directory (product surface),https://useclearline.com/,2026-09-04T10:29:56.140069
Cambio,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.cambio.ai/,2026-09-04T10:29:56.170270
Avina,ENTERPRISE,YC OSS Startup Directory (product surface),https://avina.io/,2026-09-04T10:29:56.139076
Pump.co,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.pump.co/,2026-09-04T10:29:56.137062
Monterey AI,ENTERPRISE,YC OSS Startup Directory (product surface),http://www.monterey.ai/,2026-09-04T10:29:56.259433
Jasmine Energy,PAID,YC OSS Startup Directory (product surface),http://www.jasmine.energy/,2026-09-04T10:29:57.345567
Chima,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.withchima.com/,2026-09-04T10:29:57.354679
Invofox,FREEMIUM,YC OSS Startup Directory (product surface),https://invofox.com/?utm_source=yc,2026-09-04T10:29:57.348571
Intuned,FREEMIUM,YC OSS Startup Directory (product surface),https://intunedhq.com/pricing,2026-09-04T10:29:57.348571
StackAI,ENTERPRISE,YC OSS Startup Directory (product surface),https://www.stackai.com/,2026-09-04T10:29:57.418649
